DIRECCION;latitude;longitud;;;;
AV. ALFONSO UGARTE S/N CUADRA 1 (COSTADO DE LA DEMUNA);;;;;;
CALLE 2 DE MAYO Nº 422 HUANCABAMBA- PIURA;-5.2383234;-79.4514218;;;;
AH.HH. SAN FRANCISCO MZ J LT 09 SALON COMUNAL;37.7749295;-122.4194155;;;;
AV. INDEPENENCIA MZ. O LOTE 6 URB. MIRAFLORES (FRENTE AL COLEGIO AMERICANO Y A 5 CASAS DE LA AV. LUIS MONTERO);54.5259614;-105.2551187;;;;
AV. CIRCUNVALACIÓN cuadra 30 A.H. SANTA JULIA;-5.1896318;-80.6638125;;;;
AAHH VICENTE CHUNGA ALDANA MZ O LOTE 1 (INTERIOR DEL AUDITORIO MUNICIPAL);;;;;;
CALLE MANUEL COX MZ B LT 2 URBANIZACION RAMIRO PRIALE;;;;;;
JR. FELIX OJEDA S/N CUADRA 02 ESQ. CON AVENIDA LETICIA; FRENTE A LA PLAZA CENTRAL-ESPALDA DE LA BIBLIOTECA MUNICIPAL;;;;;
AV. MARTIRES PETROLEROS S/N -2DO NIVEL (ESPALDAS DE LA MUNICIPALIDAD DE TALARA);-4.581152;-81.2628961;;;;
AV. TITICACA S/N (INTERIOR DEL MERCADO CENTRAL DE ACORA);;;;;;
MERCADO CENTRAL PEDRO VILCAPASA- 3ER PISO; AZANGARO) .;-14.9164287;-70.196185;;;
PLAZA 28 DE JULIO Nº 401 - LOCAL DE LA MUNICIPALIDAD PROVINCIAL DE CARABAYA - (PUERTA POSTERIOR);-14.0691337;-70.4281661;;;;
JR. LOYOLA S/N - JULI - CHUCUITO (LOCAL DEL CENTRO CIVICO- 2DO PISO - SUCURSAL DE LA MUNICIPALIDAD);-15.9039696;-69.8865431;;;;
AV. EL EJERCITO N° 502 - 4TO PISO DEL POLICLINICO MUNICIPAL DE HUANCANE);-15.2053189;-69.7614568;;;;
JR. INDEPENDENCIA 210 - ILAVE ( INTERIOR DE LA MUNICIPALIDAD -FRENTE A LA PLAZA DE ARMAS);-16.0825395;-69.6384724;;;;
JR. MARIANO PANDIA Nº 285 URB. LA RINCONADA (INTERIOR DE LA BENEFICENCIA PUBLICA -1ER PISO);-15.5012651;-70.1314104;;;;
AV LA CULTURA S/N EX ALBERGUE MUNICIPAL TERCER PISO;;;;;;
JIRON LUIS DALLE S/N TERMINAL RINCONADA AYAVIRI - MELGAR 2DO PISO - A ESPALDAS DEL HOSPITAL.;-14.8842942;-70.5889612;;;;
AV. GRAU S/N; SEGUNDO PISO (AL COSTADO DE LA FISCALIA. ANTIGUO LOCAL DEL MUNICIPIO);;;;;
JR. AREQUIPA Nº 857 (INTERIOR DEL EDIFICIO DE LA BENEFICENCIA PUBLICA 1ER PISO);-16.4090474;-71.537451;;;;
AV.LA LIBERTAD S/N (AGENCIA AGRARIA LOCAL DEL CENTRO CIVICO)- BARRIO SANTIAGO LUJAN;20.5951024;-100.3741048;;;;
JR. JULIACA S/N 2º NIVEL DEL MERCADO MUNICIPAL (COSTADO DE LA OFICINA DE TRANSPORTE Y POLICIA MUNICIPAL);-15.4996879;-70.129653;;;;
CALLE ATAHUALLPA S/N (FRENTE A LA COMISARÍA PNP UCHIZA); DISTRITO DE UCHIZA;;;;;
JR. IQUITOS N° 260 (BIBLIOTECA MUNICIPAL DE BELLAVISTA- 2DO PISO;-3.7436735;-73.2516326;;;;
JIRON INDEPENDENCIA N°385 -SAN JOSÉ DE SISA (A LA ALT. DEL CENTRO EDUCATIVO REATEGUI 0272);-12.0621036;-77.0481416;;;;
CALLE LORETO 385 - DISTRITO DE SAPOSOA - HUALLAGA.;-6.8889894;-76.8951551;;;;
JR. SAN MARTIN Nº 774 - LAMAS (AL COSTADO DEL BANCO DE LA NACIÓN);;;;;;
JR. PROGRESO; CUADRA 4- FRENTE A LA GOBERNACIÓN PROVINCIAL.;;;;;
AV. GRAU CDRA 4 (AL COSTADO DEL MERCADO AYAYMAMA - CAMPO FERIAL AYYAMAMA);;;;;;
JR. ARICA N° 388; 2 PISO (CRUCE DE JR. ARICA CON JR. SAN MARTÍN).;-6.4970512;-76.3652245;;;
JR.TEOBALDO LOPEZ CUADRA 3 ( AL COSTADO DEL MODULO DE JUSTICIA - FRENTE AL MERCADO ZONAL);;;;;;
JR.SHAPAJA 6TA CUADRA S/N - BARRIO HUAYCO DE LA URB. SANTA INES (LOCAL EX CAMAL;-6.4931279;-76.3623455;;;;
CALLE GRAU S/N (COSTADO DE LA MUN. PROV. CANDARAVE EX CALLE UGARTE.);-17.2684815;-70.2512498;;;;
AV. VILLA MUNICIPAL S/N (INTERIOR DEL LOCAL DE SEGURIDAD CIUDADANA - PRIMER PISO - ALT. DE ESSALUD).;;;;;;
CALLE HIPÓLITO UNANUE Nº 970 ( COSTADO DE LA EMPRESA DISTRIBUIDORA DE COCA COLA);;;;;;
CALLE ZELA S/N - 2DO. PISO - COSTADO DEL PODER JUDICIAL;;;;;;
CALLE PIURA N° 481 2DO PISO (FRENTE A LA OFICINA DE ENOSA);-12.1158672;-77.0357981;;;;
PASAJE MAXIMILIANO MORAN S/N - URB. ANDRES ARAUJO MORAN (A ESPALDAS DE LA COMISARIA DE LA URB. ANDRÉS ARAUJO MORAN);-3.5599942;-80.4280409;;;;
CALLE BOLOGNESI N 204 - (A MEDIA CUADRA DEL MINISTERIO PUBLICO);-12.1200771;-77.0360416;;;;
CALLE RIOJA N° 659 - DISTRITO DE RAYMONDI (REF. INTERIOR DEL LOCAL DE LA MUNICIPALIDAD);-30.981979;-64.1057959;;;;
JR. MALECÓN RÍO NEGRO MZ. L-5 LT.01 -  AGUAYTIA (REF. LOCAL DEL CEDIF);-9.0368122;-75.5094999;;;;
JR. TACNA Nº 292 (REF. EX LOCAL DEL SERENAZGO);-12.0959096;-77.0729732;;;;
AV. JULIO VILLACORTA S/N - INTERIOR DE LA MUNICIPALIDAD PROVINCIAL DE PURÚS;-8.3875498;-74.5359872;;;;
