cod_mod,ltimoden_metaatencion,cuentadeid_postulante_procesoadm,sumaden_flagingresante,sumaden_flagmatriculado,ratio,ratio1,dif,dif1,nlat_ie,nlong_ie,population_ccpp,altitude,Dblock1km,Dblock2km,Dblock3km,Dblock5km,Dblock10km,Dblock20km,Dblock30km,_merge
1200591,390,66,40,40,.1025641,.16923077,-350,-324,-14.26576,-71.23002,41352,3541,15660286,783143,522095,313057,156028,7814,5209,matched (3)
1222124,575,396,387,383,.66608697,.68869567,-192,-179,-5.7088,-78.80783,,,6201129,310564,206376,124225,62112,3156,2037,matched (3)
1227982,532,595,452,437,.8214286,1.1184211,-95,63,-11.77368,-75.4923,16424,3371,12910760,645380,430253,258152,129076,6438,4325,matched (3)
1232891,165,53,48,44,.26666668,.32121211,-121,-112,-12.06367,-76.94851,,,13230922,661461,441307,264184,132092,6646,4430,matched (3)
1243211,925,361,300,257,.27783784,.39027026,-668,-564,-8.1157,-79.02005,294730,34,8861153,443576,295384,177230,88115,4457,2938,matched (3)
1255389,395,180,172,168,.42531645,.4556962,-227,-215,-16.4097,-71.53386,61519,2332,18030320,901160,601106,360064,180032,9016,6010,matched (3)
1255587,90,50,46,21,.23333333,.55555558,-69,-40,-11.98931,-76.8194,41110,663,13150908,657454,438302,263181,131090,6545,4330,matched (3)
1255629,74,79,46,46,.62162161,1.0675676,-28,5,-3.75564,-73.25579999999999,155029,99,4040511,202255,134170,80102,40051,2025,1317,matched (3)
1257013,630,373,323,323,.51269841,.59206349,-307,-257,-12.15437,-76.97779,362643,108,13330926,666463,444308,266185,133092,6646,4430,matched (3)
1260223,210,134,134,134,.63809526,.63809526,-76,-76,-16.40434,-71.53946999999999,61519,2328,18030320,901160,601106,360064,180032,9016,6010,matched (3)
1273911,153,188,153,147,.96078432,1.2287582,-6,35,-14.89719,-70.58796,11,4023,16360214,818107,545071,327042,163021,8110,5407,matched (3)
1275759,390,483,336,223,.57179487,1.2384615,-167,93,-3.55727,-80.44333,0,295,3821311,191655,127437,76262,38131,1965,1243,matched (3)
1321769,130,44,44,44,.33846155,.33846155,-86,-86,-12.10676,-77.03083,85065,104,13280931,664465,442310,265186,132093,6646,4431,matched (3)
1345081,238,116,116,115,.48319328,.48739496,-123,-122,-16.07656,-72.49262,3108,627,17670426,883213,589142,353085,176042,8821,5814,matched (3)
1386531,150,157,104,100,.66666669,1.0466666,-50,7,-13.5353,-71.98079,64075,3241,14860369,743184,495123,297073,148036,7418,4912,matched (3)
1394196,150,109,99,98,.65333331,.72666669,-52,-41,-12.86332,-72.69288,26573,1060,14110449,705224,470149,282089,141044,7022,4714,matched (3)
1396217,120,118,82,82,.68333334,.98333335,-38,-2,-13.77014,-71.84229999999999,1680,3036,15120354,756177,504118,302070,151035,7517,5011,matched (3)
1421106,150,0,0,0,0,0,-150,-150,-14.06394,-75.72920000000001,,,15440787,772393,514262,308157,154078,7739,5126,matched (3)
1445071,320,162,55,55,.171875,.50625002,-265,-158,-8.11176,-79.02869,,,8861154,443577,295384,177230,88115,4457,2938,matched (3)
1450915,425,459,333,331,.77882355,1.08,-94,34,-7.22809,-79.43002,36770,133,7881199,394599,262399,157239,78119,3959,2639,matched (3)
1461144,90,51,45,45,.5,.56666666,-45,-39,-6.76945,-79.83166,,,7381243,369621,246414,147248,73124,3662,2441,matched (3)
1468057,120,41,41,41,.34166667,.34166667,-79,-79,-12.16264,-76.94429,,,13340922,667461,444307,266184,133092,6646,4430,matched (3)
1468248,60,0,0,0,0,0,-60,-60,-11.95714,-77.04984,,,13110934,655467,437311,262186,131093,6546,4331,matched (3)
1468594,1566,250,241,202,.12899107,.1596424,-1364,-1316,-12.02987,-77.05831000000001,579561,125,13190935,659467,439311,263187,131093,6546,4331,matched (3)
1468610,284,74,71,71,.25,.26056337,-213,-210,-12.08215,-77.05295,66171,115,13250934,662467,441311,265186,132093,6646,4431,matched (3)
1545623,210,266,184,177,.84285712,1.2666667,-33,56,-16.1394,-70.5358,1175,3780,17740208,887104,591069,354041,177020,8810,5906,matched (3)
1595495,206,144,141,137,.66504854,.69902915,-69,-62,-18.0137,-70.2508,86095,577,19810177,990088,660059,396035,198017,9908,6605,matched (3)
1637859,180,134,125,125,.69444442,.74444443,-55,-46,-13.63631,-72.87916,45864,2392,14970469,748234,499156,299093,149046,7423,4915,matched (3)
